,Name,HR,HD,SAO,RA,DE,RAdeg,DEdeg,Vmag,B-V,pmRA,pmDE,Parallax,RadVel
0,,1,3,36042,0.02253656396637678,0.7893978762666021,1.2912500000000002,45.22916666666667,6.7,0.07,-0.012,-0.018,,-18.0
1,,2,6,128569,0.022092959448161555,-0.008779975764893698,1.2658333333333334,-0.5030555555555557,6.29,1.1,0.045,-0.06,,14.0
2,33    Psc,3,28,128572,0.023278328898474365,-0.09961466705757636,1.3337499999999998,-5.707500000000001,4.61,1.04,-0.009,0.089,0.014,-6.0
3,86    Peg,4,87,91701,0.024870941840919196,0.2338062458518848,1.425,13.39611111111111,5.51,0.9,0.045,-0.012,,-2.0
4,,5,123,21085,0.027343491614577834,1.019912237223753,1.566666666666667,58.43666666666667,5.96,0.67,0.263,0.03,0.047,-12.0
5,,6,142,214963,0.027561657771077122,-0.8565203304162172,1.5791666666666668,-49.075,5.7,0.52,0.565,-0.038,0.05,3.0
6,10    Cas,7,144,10978,0.02810707316232535,1.1204335058650041,1.6104166666666668,64.19611111111111,5.59,-0.03,0.008,0.0,,-0.0
7,,8,166,73743,0.02885611029963958,0.5065187896128099,1.6533333333333333,29.02138888888889,6.13,0.75,0.38,-0.182,0.067,-8.0
8,,9,203,166053,0.029823313593453107,-0.40330195690458975,1.7087500000000002,-23.107500000000005,6.18,0.38,0.1,-0.045,,3.0
9,,10,256,147090,0.0318668032593298,-0.3034497311432697,1.8258333333333334,-17.386388888888888,6.19,0.14,-0.018,0.036,,-9.0
10,,11,315,128595,0.03375030441044035,-0.04448650337861102,1.9337500000000003,-2.5488888888888885,6.43,-0.14,0.027,-0.002,,13.0
11,,12,319,166066,0.033946653951289714,-0.39285422207667925,1.9450000000000003,-22.508888888888894,5.94,0.14,0.052,-0.044,,-13.0
12,,13,344,192367,0.0351611122224691,-0.5851992019200765,2.0145833333333334,-33.529444444444444,5.68,1.12,-0.037,0.0,,7.0
