T,R,G,B
200,1.0,0.0,1.900910481e-07
210,1.0,0.0,1.17478867881e-07
220,1.0,2.13079314378e-06,0.0
230,1.0,2.1841621924e-05,0.0
240,1.0,5.20841728268e-05,0.0
250,1.0,9.67620882012e-05,0.0
260,1.0,0.000160525530454,0.0
270,1.0,0.000248691409696,0.0
280,1.0,0.00036709875452,0.0
290,1.0,0.000521908401998,0.0
300,1.0,0.000719364855212,0.0
310,1.0,0.000965543977838,0.0
320,1.0,0.00126611188063,0.0
330,1.0,0.00162611769585,0.0
340,1.0,0.00204983680884,0.0
350,1.0,0.00254067312604,0.0
360,1.0,0.00310112089584,0.0
370,1.0,0.00373277993075,0.0
380,1.0,0.0044364136536,0.0
390,1.0,0.00521203738621,0.0
400,1.0,0.00605902437846,0.0
410,1.0,0.00697621862047,0.0
420,1.0,0.00796204581694,0.0
430,1.0,0.0090146164557,0.0
440,1.0,0.0101318172692,0.0
450,1.0,0.0113113893439,0.0
460,1.0,0.0125509925967,0.0
470,1.0,0.0138482573296,0.0
480,1.0,0.0152008241637,0.0
490,1.0,0.0166063739366,0.0
500,1.0,0.0180626492126,0.0
510,1.0,0.0195674689758,0.0
520,1.0,0.0211187379263,0.0
530,1.0,0.0227144516022,0.0
540,1.0,0.0243526983555,0.0
550,1.0,0.0260316590177,0.0
560,1.0,0.0277496049248,0.0
570,1.0,0.0295048948215,0.0
580,1.0,0.0312959710487,0.0
590,1.0,0.0331213553122,0.0
600,1.0,0.034979644259,0.0
610,1.0,0.0368695050182,0.0
620,1.0,0.0387896708209,0.0
630,1.0,0.0407389367742,0.0
640,1.0,0.042716155838,0.0
650,1.0,0.0447202350313,0.0
660,1.0,0.0467501318838,0.0
670,1.0,0.0488048511325,0.0
680,1.0,0.0508834416624,0.0
690,1.0,0.0529849936795,0.0
700,1.0,0.0551086361047,0.0
710,1.0,0.0572535341761,0.0
720,1.0,0.0594188872428,0.0
730,1.0,0.0616039267371,0.0
740,1.0,0.06380791431,0.0
750,1.0,0.0660301401159,0.0
760,1.0,0.0682699212341,0.0
770,1.0,0.0705266002141,0.0
780,1.0,0.072799543734,0.0
790,1.0,0.0750881413608,0.0
800,1.0,0.0773918044043,0.0
810,1.0,0.0797099648552,0.0
820,1.0,0.0820420743996,0.0
830,1.0,0.0843876035028,0.0
840,1.0,0.0867460405566,0.0
850,1.0,0.0891168910837,0.0
860,1.0,0.0914996769943,0.0
870,1.0,0.0938939358904,5.90940692334e-06
880,1.0,0.096299220413,5.34646410811e-05
890,1.0,0.0987150976293,0.000105254033973
900,1.0,0.101141148456,0.000161456536636
910,1.0,0.103576967117,0.000222252757984
920,1.0,0.106022160627,0.000287824787433
930,1.0,0.108476348311,0.000358356017318
940,1.0,0.110939161341,0.000434030965607
950,1.0,0.113410242303,0.000515035099421
960,1.0,0.115889244782,0.000601554659802
970,1.0,0.11837583297,0.000693776488163
980,1.0,0.120869681292,0.000791887854823
990,1.0,0.123370474048,0.000896076289994
1000,1.0,0.125877905074,0.00100652941755
1010,1.0,0.128391677414,0.00112343479192
1020,1.0,0.130911503013,0.00124697973831
1030,1.0,0.133437102421,0.00137735119662
1040,1.0,0.1359682045,0.00151473556922
1050,1.0,0.138504546159,0.00165931857272
1060,1.0,0.141045872089,0.00181128509411
1070,1.0,0.143591934512,0.00197081905114
1080,1.0,0.146142492937,0.00213810325739
1090,1.0,0.148697313931,0.00231331929184
1100,1.0,0.151256170893,0.00249664737329
1110,1.0,0.153818843841,0.00268826623943
1120,1.0,0.156385119202,0.00288835303091
1130,1.0,0.158954789616,0.0030970831802
1140,1.0,0.161527653739,0.00331463030535
1150,1.0,0.164103516062,0.00354116610874
1160,1.0,0.16668218673,0.00377686028057
1170,1.0,0.169263481368,0.00402188040743
1180,1.0,0.171847220916,0.00427639188551
1190,1.0,0.174433231468,0.00454055783873
1200,1.0,0.177021344116,0.00481453904157
1210,1.0,0.179611394799,0.00509849384656
1220,1.0,0.182203224157,0.00539257811644
1230,1.0,0.184796677394,0.00569694516074
1240,1.0,0.18739160414,0.00601174567688
1250,1.0,0.189987858317,0.00633712769562
1260,1.0,0.192585298017,0.00667323653072
1270,1.0,0.195183785375,0.00702021473278
1280,1.0,0.197783186453,0.00737820204716
1290,1.0,0.200383371123,0.00774733537574
1300,1.0,0.202984212955,0.00812774874266
1310,1.0,0.20558558911,0.00851957326365
1320,1.0,0.208187380236,0.00892293711904
1330,1.0,0.210789470366,0.00933796553026
1340,1.0,0.213391746821,0.00976478073968
1350,1.0,0.215994100111,0.0102035019937
1360,1.0,0.21859642385,0.0106542455292
1370,1.0,0.221198614661,0.0111171245625
1380,1.0,0.223800572091,0.0115922492821
1390,1.0,0.226402198528,0.0120797268429
1400,1.0,0.229003399121,0.0125796613649
1410,1.0,0.231604081699,0.0130921539327
1420,1.0,0.234204156695,0.0136173025986
1430,1.0,0.236803537072,0.0141552023875
1440,1.0,0.239402138256,0.0147059453048
1450,1.0,0.241999878058,0.015269620345
1460,1.0,0.244596676612,0.015846313504
1470,1.0,0.247192456312,0.0164361077925
1480,1.0,0.249787141742,0.0170390832509
1490,1.0,0.252380659617,0.0176553169668
1500,1.0,0.254972938728,0.0182848830935
1510,1.0,0.257563909878,0.0189278528705
1520,1.0,0.260153505827,0.0195842946452
1530,1.0,0.26274166124,0.0202542738958
1540,1.0,0.265328312633,0.0209378532562
1550,1.0,0.267913398321,0.0216350925413
1560,1.0,0.270496858369,0.0223460487741
1570,1.0,0.273078634543,0.0230707762133
1580,1.0,0.275658670263,0.0238093263826
1590,1.0,0.278236910558,0.0245617480999
1600,1.0,0.280813302024,0.0253280875086
1610,1.0,0.283387792776,0.0261083881086
1620,1.0,0.28596033241,0.0269026907886
1630,1.0,0.288530871962,0.0277110338589
1640,1.0,0.291099363869,0.0285334530849
1650,1.0,0.293665761931,0.0293699817208
1660,1.0,0.29623002127,0.0302206505445
1670,1.0,0.298792098302,0.031085487892
1680,1.0,0.301351950693,0.031964519693
1690,1.0,0.303909537334,0.0328577695064
1700,1.0,0.306464818299,0.0337652585563
1710,1.0,0.309017754822,0.0346870057678
1720,1.0,0.311568309259,0.0356230278038
1730,1.0,0.31411644506,0.0365733391015
1740,1.0,0.316662126741,0.0375379519084
1750,1.0,0.319205319854,0.03851687632
1760,1.0,0.321745990961,0.0395101203157
1770,1.0,0.324284107604,0.0405176897964
1780,1.0,0.32681963828,0.0415395886207
1790,1.0,0.32935255242,0.0425758186419
1800,1.0,0.331882820355,0.0436263797447
1810,1.0,0.334410413302,0.044691269882
1820,1.0,0.336935303334,0.0457704851108
1830,1.0,0.33945746336,0.0468640196293
1840,1.0,0.3419768671,0.0479718658126
1850,1.0,0.34449348907,0.0490940142488
1860,1.0,0.347007304552,0.0502304537748
1870,1.0,0.349518289583,0.0513811715118
1880,1.0,0.352026420927,0.0525461529009
1890,1.0,0.354531676063,0.0537253817378
1900,1.0,0.357034033161,0.0549188402078
1910,1.0,0.359533471065,0.0561265089203
1920,1.0,0.362029969279,0.0573483669428
1930,1.0,0.364523507944,0.058584391835
1940,1.0,0.367014067825,0.0598345596825
1950,1.0,0.369501630296,0.0610988451296
1960,1.0,0.371986177319,0.0623772214125
1970,1.0,0.374467691433,0.0636696603917
1980,1.0,0.376946155739,0.0649761325844
1990,1.0,0.379421553882,0.0662966071957
2000,1.0,0.38189387004,0.0676310521509
2010,1.0,0.38436308891,0.0689794341256
2020,1.0,0.386829195692,0.0703417185773
2030,1.0,0.389292176079,0.0717178697747
2040,1.0,0.391752016241,0.0731078508282
2050,1.0,0.394208702817,0.0745116237194
2060,1.0,0.396662222899,0.0759291493296
2070,1.0,0.399112564023,0.077360387469
2080,1.0,0.401559714153,0.0788052969048
2090,1.0,0.404003661676,0.0802638353887
2100,1.0,0.406444395389,0.0817359596849
2110,1.0,0.408881904485,0.0832216255966
2120,1.0,0.411316178547,0.0847207879929
2130,1.0,0.413747207537,0.0862334008349
2140,1.0,0.416174981784,0.0877594172016
2150,1.0,0.418599491977,0.0892987893148
2160,1.0,0.421020729156,0.0908514685648
2170,1.0,0.423438684701,0.0924174055344
2180,1.0,0.425853350324,0.093996550023
2190,1.0,0.428264718061,0.0955888510709
2200,1.0,0.430672780263,0.0971942569819
2210,1.0,0.433077529589,0.0988127153468
2220,1.0,0.435478958997,0.100444173066
2230,1.0,0.437877061736,0.10208857637
2240,1.0,0.44027183134,0.103745870845
2250,1.0,0.442663261619,0.105416001449
2260,1.0,0.445051346655,0.107098912537
2270,1.0,0.447436080789,0.108794547881
2280,1.0,0.449817458621,0.110502850688
2290,1.0,0.452195475001,0.11222376362
2300,1.0,0.454570125019,0.113957228817
2310,1.0,0.456941404005,0.115703187912
2320,1.0,0.459309307517,0.117461582052
2330,1.0,0.461673831341,0.119232351917
2340,1.0,0.464034971479,0.121015437734
2350,1.0,0.466392724148,0.122810779299
2360,1.0,0.468747085773,0.124618315993
2370,1.0,0.471098052981,0.126437986797
2380,1.0,0.473445622596,0.128269730313
2390,1.0,0.475789791636,0.130113484775
2400,1.0,0.478130557304,0.131969188068
2410,1.0,0.480467916988,0.133836777743
2420,1.0,0.482801868251,0.135716191034
2430,1.0,0.485132408832,0.137607364869
2440,1.0,0.487459536637,0.139510235889
2450,1.0,0.489783249737,0.141424740458
2460,1.0,0.492103546362,0.143350814681
2470,1.0,0.494420424901,0.145288394417
2480,1.0,0.496733883891,0.14723741529
2490,1.0,0.49904392202,0.149197812704
2500,1.0,0.501350538119,0.151169521855
2510,1.0,0.50365373116,0.153152477747
2520,1.0,0.505953500251,0.155146615197
2530,1.0,0.508249844635,0.157151868856
2540,1.0,0.510542763682,0.159168173214
2550,1.0,0.51283225689,0.161195462614
2560,1.0,0.515118323882,0.163233671263
2570,1.0,0.517400964397,0.165282733243
2580,1.0,0.519680178295,0.167342582524
2590,1.0,0.521955965546,0.169413152968
2600,1.0,0.524228326234,0.171494378347
2610,1.0,0.526497260548,0.173586192348
2620,1.0,0.528762768784,0.175688528585
2630,1.0,0.53102485134,0.177801320608
2640,1.0,0.533283508713,0.179924501911
2650,1.0,0.535538741499,0.182058005944
2660,1.0,0.537790550385,0.184201766117
2670,1.0,0.540038936154,0.186355715816
2680,1.0,0.542283899675,0.188519788405
2690,1.0,0.544525441907,0.190693917235
2700,1.0,0.546763563892,0.192878035657
2710,1.0,0.548998266755,0.195072077023
2720,1.0,0.551229551704,0.197275974699
2730,1.0,0.553457420021,0.199489662071
2740,1.0,0.555681873067,0.201713072549
2750,1.0,0.557902912278,0.20394613958
2760,1.0,0.56012053916,0.20618879665
2770,1.0,0.562334755292,0.208440977293
2780,1.0,0.564545562318,0.210702615096
2790,1.0,0.566752961952,0.212973643708
2800,1.0,0.568956955971,0.215253996843
2810,1.0,0.571157546216,0.217543608289
2820,1.0,0.573354734589,0.219842411913
2830,1.0,0.575548523053,0.222150341664
2840,1.0,0.577738913627,0.224467331582
2850,1.0,0.579925908388,0.226793315805
2860,1.0,0.582109509469,0.229128228567
2870,1.0,0.584289719054,0.231472004211
2880,1.0,0.586466539382,0.233824577189
2890,1.0,0.588639972742,0.236185882071
2900,1.0,0.590810021471,0.238555853544
2910,1.0,0.592976687956,0.240934426423
2920,1.0,0.59513997463,0.243321535651
2930,1.0,0.59729988397,0.245717116304
2940,1.0,0.5994564185,0.248121103597
2950,1.0,0.601609580786,0.250533432888
2960,1.0,0.603759373434,0.252954039679
2970,1.0,0.605905799093,0.255382859624
2980,1.0,0.608048860452,0.257819828527
2990,1.0,0.610188560236,0.260264882354
3000,1.0,0.612324901211,0.262717957229
3010,1.0,0.614457886175,0.26517898944
3020,1.0,0.616587517965,0.267647915444
3030,1.0,0.618713799452,0.270124671867
3040,1.0,0.62083673354,0.27260919551
3050,1.0,0.622956323164,0.275101423351
3060,1.0,0.625072571294,0.277601292547
3070,1.0,0.627185480927,0.280108740437
3080,1.0,0.629295055094,0.282623704546
3090,1.0,0.631401296852,0.285146122588
3100,1.0,0.633504209288,0.287675932466
3110,1.0,0.635603795516,0.290213072276
3120,1.0,0.637700058676,0.292757480309
3130,1.0,0.639793001936,0.295309095056
3140,1.0,0.641882628487,0.297867855205
3150,1.0,0.643968941547,0.300433699647
3160,1.0,0.646051944355,0.303006567478
3170,1.0,0.648131640175,0.305586397998
3180,1.0,0.650208032295,0.308173130716
3190,1.0,0.652281124022,0.310766705352
3200,1.0,0.654350918687,0.313367061835
3210,1.0,0.656417419638,0.31597414031
3220,1.0,0.658480630248,0.318587881135
3230,1.0,0.660540553906,0.321208224886
3240,1.0,0.662597194021,0.323835112355
3250,1.0,0.664650554021,0.326468484556
3260,1.0,0.666700637351,0.329108282721
3270,1.0,0.668747447475,0.331754448307
3280,1.0,0.670790987873,0.334406922994
3290,1.0,0.67283126204,0.337065648684
3300,1.0,0.67486827349,0.339730567509
3310,1.0,0.67690202575,0.342401621824
3320,1.0,0.678932522364,0.345078754215
3330,1.0,0.680959766889,0.347761907497
3340,1.0,0.682983762898,0.350451024712
3350,1.0,0.685004513976,0.353146049137
3360,1.0,0.687022023722,0.355846924278
3370,1.0,0.68903629575,0.358553593875
3380,1.0,0.691047333684,0.361266001901
3390,1.0,0.693055141161,0.363984092563
3400,1.0,0.695059721832,0.366707810303
3410,1.0,0.697061079357,0.369437099798
3420,1.0,0.699059217409,0.372171905962
3430,1.0,0.70105413967,0.374912173946
3440,1.0,0.703045849836,0.377657849136
3450,1.0,0.70503435161,0.380408877159
3460,1.0,0.707019648707,0.383165203877
3470,1.0,0.709001744851,0.385926775392
3480,1.0,0.710980643776,0.388693538045
3490,1.0,0.712956349225,0.391465438416
3500,1.0,0.71492886495,0.394242423325
3510,1.0,0.71689819471,0.397024439832
3520,1.0,0.718864342277,0.399811435236
3530,1.0,0.720827311425,0.402603357078
3540,1.0,0.722787105942,0.405400153138
3550,1.0,0.72474372962,0.408201771437
3560,1.0,0.726697186259,0.411008160239
3570,1.0,0.728647479667,0.413819268046
3580,1.0,0.73059461366,0.416635043602
3590,1.0,0.732538592059,0.419455435893
3600,1.0,0.734479418692,0.422280394146
3610,1.0,0.736417097395,0.425109867828
3620,1.0,0.738351632008,0.427943806649
3630,1.0,0.74028302638,0.430782160556
3640,1.0,0.742211284364,0.433624879743
3650,1.0,0.744136409819,0.43647191464
3660,1.0,0.746058406611,0.43932321592
3670,1.0,0.747977278609,0.442178734496
3680,1.0,0.749893029689,0.445038421521
3690,1.0,0.751805663732,0.447902228391
3700,1.0,0.753715184624,0.450770106738
3710,1.0,0.755621596255,0.453642008437
3720,1.0,0.757524902522,0.456517885602
3730,1.0,0.759425107325,0.459397690586
3740,1.0,0.761322214567,0.46228137598
3750,1.0,0.763216228159,0.465168894617
3760,1.0,0.765107152013,0.468060199566
3770,1.0,0.766994990046,0.470955244135
3780,1.0,0.76887974618,0.473853981871
3790,1.0,0.770761424341,0.476756366556
3800,1.0,0.772640028456,0.479662352211
3810,1.0,0.774515562459,0.482571893095
3820,1.0,0.776388030287,0.485484943701
3830,1.0,0.778257435878,0.488401458759
3840,1.0,0.780123783177,0.491321393235
3850,1.0,0.781987076128,0.49424470233
3860,1.0,0.783847318683,0.49717134148
3870,1.0,0.785704514794,0.500101266355
3880,1.0,0.787558668416,0.503034432858
3890,1.0,0.789409783509,0.505970797126
3900,1.0,0.791257864033,0.508910315531
3910,1.0,0.793102913954,0.511852944673
3920,1.0,0.794944937238,0.514798641388
3930,1.0,0.796783937856,0.517747362741
3940,1.0,0.798619919779,0.520699066028
3950,1.0,0.800452886982,0.523653708776
3960,1.0,0.802282843442,0.526611248742
3970,1.0,0.80410979314,0.52957164391
3980,1.0,0.805933740057,0.532534852496
3990,1.0,0.807754688177,0.53550083294
4000,1.0,0.809572641487,0.538469543913
4010,1.0,0.811387603974,0.54144094431
4020,1.0,0.813199579631,0.544414993256
4030,1.0,0.815008572449,0.547391650097
4040,1.0,0.816814586422,0.550370874406
4050,1.0,0.818617625549,0.553352625983
4060,1.0,0.820417693825,0.556336864848
4070,1.0,0.822214795253,0.559323551245
4080,1.0,0.824008933833,0.562312645641
4090,1.0,0.82580011357,0.565304108727
4100,1.0,0.827588338468,0.56829790141
4110,1.0,0.829373612535,0.571293984823
4120,1.0,0.83115593978,0.574292320316
4130,1.0,0.832935324211,0.577292869459
4140,1.0,0.834711769842,0.580295594039
4150,1.0,0.836485280684,0.583300456063
4160,1.0,0.838255860753,0.586307417755
4170,1.0,0.840023514065,0.589316441553
4180,1.0,0.841788244636,0.592327490115
4190,1.0,0.843550056485,0.59534052631
4200,1.0,0.845308953633,0.598355513223
4210,1.0,0.847064940099,0.601372414155
4220,1.0,0.848818019907,0.604391192615
4230,1.0,0.85056819708,0.60741181233
4240,1.0,0.852315475642,0.610434237233
4250,1.0,0.85405985962,0.613458431473
4260,1.0,0.85580135304,0.616484359406
4270,1.0,0.85753995993,0.619511985597
4280,1.0,0.859275684319,0.622541274823
4290,1.0,0.861008530237,0.625572192065
4300,1.0,0.862738501715,0.628604702514
4310,1.0,0.864465602785,0.631638771567
4320,1.0,0.866189837479,0.634674364825
4330,1.0,0.867911209831,0.637711448096
4340,1.0,0.869629723876,0.640749987393
4350,1.0,0.871345383649,0.64378994893
4360,1.0,0.873058193186,0.646831299124
4370,1.0,0.874768156524,0.649874004598
